time,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
breakfast,Mains,"SANDWICH, POHA & SEV, DAHI, JALEBI, MASALA OATS","MASALA CORN, BESAN CHILA, NAMKEEN SEWAIYAN","VADA/IDLI, SAMBHAR WITH 2 CHUTNEY: COCONUT & TOMATO, KALA CHANA","PANEER PARATHA, PICKLE WITH CHUTNEY & DAHI, CORNFLAKES","VADA PAV WITH CHUTNEY, OMLETTE, SUJI KA HALWA","ALOO PYAAZ PARATHA, PICKLE WITH MINT CHUTNEY & DAHI, CORNFLAKES","DOSA, SAMBHAR WITH 2 CHUTNEY: COCONUT & TOMATO, BOILED EGGS"
breakfast,Breads,"WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE","WHITE & BROWN BREAD, BUTTER & JAM, TOMATO SAUCE"
breakfast,Beverages,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA,TEA/ COFFEE/ MILK WITH BOURNVITA
breakfast,Healthy Options,SPROUTS & SATTU,BEAN SALAD & FRUITS,FRUIT OATS,SPROUTS & FRUITS,SPROUTS & FRUITS,SPROUTS & FRUIT/ FRUIT JUICE,SPROUTS & CHOCOS
breakfast,Extra Messing,Boiled Eggs (MANDATORY PRE ORDER TO BE PLACED IN MESS OFFICE),,,,,,
lunch,Rice,STEAMED RICE,STEAMED RICE,PLAIN RICE,PLAIN RICE,PLAIN RICE,SOYA RICE,STEAMED RICE
lunch,Roti,CHAPPATI,CHAPPATI,CHAPPATI,CHAPPATI,CHAPPATI,CHAPPATI,BHATURE+KULCHE
lunch,Dal,"DAL, KADHI+PAKODA",MIX LIGHT DAL,DAL TADKA,RAJMA RASILA,KALI MASOOR DAL,DHABA DAL,PINDI CHOLE
lunch,Vegetable,ALOO SOYABEAN,MATER PANEER,ALOO MATAR,ALOO KI SABZI,PANEER+EGG BHURJI,MIX VEG,ALOO CHOKHA
lunch,Salad,PASTA SALAD,SEASONAL SALAD,KACHUMBAR SALAD,GREEN SALAD,GREEN SALAD,GREEN SALAD,GREEN SALAD
lunch,Curd/Raita/Papad,FRIED PAPAD,CUCUMBER RAITA,CURD,ROASTED PAPAD + CURD,SOUP,PINEAPPLE RAITA,DAHI BHALLE
lunch,Extra Messing,Andha Bhurji/Paneer Bhurji/Veg or Egg Fried Rice/Half Fry/Full Fry (EXTRA MESSING COUPONS),,,,,,
snacks,Beverage,COFFEE,TEA,TEA,COFFEE,TEA,TEA,TEA
snacks,Snacks,MASALA ALOO + BREAD,BREAD + JAM,BREAD + JAM,MASALA ALOO + BREAD,MASALA ALOO + BREAD,MASALA ALOO + BREAD + JAM,MASALA ALOO + BREAD + JAM
snacks,Snacks (Through extra messing coupons),SAMOSA,SAMOSA,SAMOSA,SAMOSA,SAMOSA,SAMOSA,SAMOSA
dinner,Rice,FRIED RICE,JEERA PULAO,PLAIN RICE,SOYA RICE,PLAIN RICE,f(x),VEG + EGG BIRYANI
dinner,Roti,CHAPPATI,PURI + CHAPPATI*,CHAPPATI,CHAPPATI,CHAPPATI,f(x),CHAPPATI
dinner,Dal,DAL PUNJABI,AMRITSARI CHOLEY,MIX DAL LIGHT,MOONG MASOOR DAL,DAL MAKHANI,f(x),TOMATO PYAAZ RAITA
dinner,Vegetable,CHILLI PANEER/EGG CURRY,KADDU MASALA/ALOO TAMATAR,PANEER BUTTER MASALA/ CHICKEN CURRY,NAVRATNA KORMA,ALOO CAPSICUM,f(x),KALACHANA MASALA
dinner,Salad/Soup,GREEN SALAD,GREEN SALAD,GREEN SALAD,GREEN SALAD,GREEN SALAD,f(x),GREEN SALAD
dinner,Desserts,GAJAR HALWA/ FRUIT CUSTARD,KHEER,PASTRY,CHHENA TOAST/ KESAR BARFI,MOONG DAL HALWA,f(x),MILK CAKE/ HOT GULAB JAMUN